KIDEN;Sinistralite;Code usage;Age;Sexe;Code Langue;Code postal;Bonus-malus n;Bonus-Malus n_1;Puissance;Date;Annee vehicule;Primes
691;1;2;1;1;1;2;1;1;1;1;1;2
692;1;2;1;1;2;2;1;1;1;1;1;2
694;1;2;1;1;2;2;1;1;2;1;1;2
695;2;2;1;1;2;1;2;2;2;1;1;3
696;1;1;1;1;2;1;1;1;2;1;1;1
698;1;2;1;1;1;1;1;1;1;1;1;2
699;1;1;1;1;2;2;1;1;1;1;2;2
700;1;2;1;1;1;2;1;1;1;1;2;2
702;1;2;1;1;1;1;1;1;2;1;1;2
703;2;2;1;2;1;1;2;2;1;1;1;3
704;1;2;1;1;2;2;1;1;1;1;1;2
707;1;2;2;1;2;2;1;1;2;1;1;2
708;1;2;1;1;1;2;1;1;1;1;1;2
710;1;2;1;1;1;2;1;1;1;1;1;2
711;1;2;1;1;1;2;1;1;1;1;1;2
713;1;2;1;1;1;2;1;1;2;1;1;2
714;2;1;1;1;1;1;2;2;2;1;2;3
715;1;2;1;1;1;2;1;1;2;1;1;1
717;1;2;1;1;2;2;1;1;1;1;1;2
718;1;2;1;1;2;1;1;1;2;1;1;1
719;1;2;2;1;1;2;1;2;2;1;1;1
720;2;2;1;1;1;1;2;2;1;1;1;3
724;2;1;1;1;1;2;2;2;2;1;1;3
725;1;2;1;1;2;2;1;1;1;1;1;2
726;1;2;2;2;1;1;1;2;1;1;2;2
727;1;1;1;1;2;2;1;1;2;1;1;2
728;1;2;1;1;1;2;1;1;1;1;1;2
729;1;2;2;1;1;2;1;1;2;1;1;2
730;1;2;1;1;2;2;1;1;2;1;1;2
732;2;2;1;2;1;1;2;2;2;1;2;2
733;2;2;2;1;1;2;1;1;1;1;2;2
735;1;2;1;1;2;2;1;1;1;1;1;2
736;1;2;1;1;1;2;1;1;1;1;1;2
739;1;2;1;1;2;2;1;1;1;1;1;2
740;1;2;1;1;2;2;1;1;1;1;1;2
741;1;2;2;2;1;2;2;2;2;1;2;3
742;1;2;1;1;1;2;1;1;2;1;1;2
743;2;1;2;1;1;1;2;2;2;1;1;3
744;1;2;1;1;2;2;1;1;1;1;1;2
747;1;2;1;1;1;2;1;1;2;1;1;2
748;1;2;1;1;1;2;1;1;2;1;1;2
749;1;1;2;1;1;2;1;1;1;1;1;2
750;1;2;1;1;1;2;1;1;2;1;1;2
751;1;2;1;1;1;2;1;1;1;1;1;2
752;2;2;2;1;1;1;1;1;1;1;1;2
753;2;2;1;2;1;2;1;1;1;1;2;2
754;2;2;1;2;1;1;2;2;1;1;1;3
757;1;2;1;1;1;1;1;1;2;1;1;1
759;1;1;1;1;2;2;1;1;1;1;1;2
760;1;2;2;2;1;2;1;1;2;1;1;1
761;1;2;2;1;1;2;1;1;1;1;1;2
762;1;2;2;1;1;2;1;1;1;1;1;2
764;1;2;2;1;1;2;2;1;1;1;1;2
766;1;2;1;1;1;2;2;1;2;1;1;2
769;1;2;1;1;1;2;1;1;1;1;1;2
770;1;1;1;1;1;2;1;1;2;1;1;1
771;1;2;1;1;1;1;1;1;2;1;1;1
772;1;2;1;1;2;2;1;1;1;1;1;2
773;1;2;1;1;1;2;1;1;2;1;1;2
775;1;2;1;1;2;2;1;1;1;1;1;2
778;1;2;1;1;1;1;1;1;1;1;1;2
779;1;1;2;1;1;2;2;2;1;1;1;3
780;1;2;1;1;1;2;2;1;2;1;1;2
782;2;2;1;1;1;2;1;1;2;1;2;2
785;1;2;2;1;1;2;1;1;2;1;1;2
786;1;2;1;1;2;2;2;1;2;1;1;2
788;1;2;2;1;1;2;1;1;2;1;1;2
789;1;2;1;1;1;2;2;1;1;1;1;2
790;1;2;1;1;2;2;1;1;1;1;1;2
793;1;2;1;2;2;2;1;1;1;1;1;2
794;1;2;1;1;2;2;2;1;2;1;1;3
797;1;2;1;1;1;1;1;1;2;1;1;2
799;1;2;1;2;1;2;1;1;2;1;1;1
801;2;1;1;3;1;1;2;2;1;1;2;3
802;1;2;1;1;2;2;1;1;1;1;1;2
804;2;1;2;1;1;2;1;2;1;1;1;2
805;2;2;2;1;1;2;2;2;1;2;1;3
806;2;2;2;1;1;2;2;2;1;2;2;3
807;1;1;1;3;1;2;2;2;2;2;1;2
808;1;1;2;2;1;2;1;2;1;2;1;2
809;2;2;2;1;1;2;2;2;1;2;1;2
810;2;2;2;1;1;2;2;2;2;2;2;1
811;2;2;2;1;1;2;1;1;1;2;2;2
812;2;2;2;2;1;2;2;2;1;2;1;3
813;2;2;2;2;1;2;2;2;1;2;2;2
815;2;2;2;1;1;1;2;2;2;2;1;2
816;2;2;2;2;1;2;2;2;2;2;1;2
817;2;2;2;2;1;2;2;2;1;2;1;3
818;2;2;2;1;1;2;2;2;1;2;2;3
819;2;2;2;1;1;2;2;2;2;2;1;3
820;1;2;1;1;1;2;2;2;2;2;2;3
821;2;2;2;1;1;2;2;2;1;2;2;3
822;2;2;2;2;1;2;2;2;2;2;2;2
823;2;2;2;2;1;2;2;2;2;2;1;2
824;2;2;2;1;1;2;2;2;2;2;1;2
826;2;2;2;1;1;2;2;2;1;2;1;2
828;1;2;1;2;2;2;1;2;2;1;1;1
830;2;2;2;2;2;2;2;2;1;2;1;3
832;2;2;2;1;2;2;2;2;1;2;1;2
833;2;1;1;3;2;2;2;2;2;2;1;3
834;2;2;2;1;2;2;2;2;1;2;1;3
835;2;2;2;1;2;2;2;2;1;2;1;3
836;2;1;1;3;2;2;2;2;1;2;2;3
837;2;1;1;1;2;2;2;2;2;2;2;2
838;2;2;2;1;2;2;2;2;2;2;2;2
839;2;2;2;1;2;2;2;2;1;2;1;3
841;2;1;1;3;2;2;2;2;1;2;1;3
842;1;2;2;1;1;2;2;2;2;2;2;2
843;2;2;2;1;2;2;2;2;2;2;1;2
844;2;2;2;1;1;2;2;2;2;2;1;1
845;2;2;2;1;1;2;2;2;1;2;2;3
846;2;2;2;1;1;2;2;2;2;2;1;3
847;1;1;2;2;1;2;2;2;2;2;1;3
848;2;2;2;1;1;2;2;2;1;2;1;2
849;1;2;2;1;1;2;1;2;1;2;2;2
850;2;2;2;2;1;2;2;2;1;2;2;2
852;2;2;2;1;1;1;2;2;2;2;2;3
853;2;2;2;2;1;2;2;2;2;2;2;2
854;2;2;2;1;1;2;2;2;1;2;1;2
855;2;2;2;1;1;2;2;2;1;2;1;2
856;2;2;2;1;1;2;2;2;1;2;1;2
857;2;2;2;2;1;2;2;2;2;2;2;2
858;2;2;2;1;1;2;2;2;1;2;2;3
859;1;2;2;2;1;2;1;1;2;2;1;1
860;2;2;2;1;1;2;2;2;1;2;1;3
861;1;2;2;1;1;2;2;2;2;2;1;2
862;1;1;1;1;1;2;1;1;1;2;2;1
863;1;2;1;1;2;2;1;1;1;2;1;2
865;2;2;2;1;2;2;2;2;1;2;1;3
866;2;2;2;2;2;2;2;2;1;2;2;3
867;1;2;1;1;2;2;2;2;2;2;1;2
868;2;2;2;1;2;2;2;2;1;2;2;3
869;2;2;2;1;2;2;2;2;1;2;1;2
870;2;2;2;1;2;2;2;1;2;2;1;2
873;2;2;2;2;1;2;2;2;2;2;1;3
874;2;1;1;3;2;1;2;2;1;2;2;3
875;1;2;2;1;2;2;2;2;2;2;1;3
876;2;2;2;1;2;2;2;2;2;2;2;2
877;2;1;1;1;1;2;2;2;2;2;2;3
878;2;1;2;1;2;2;2;2;1;2;1;3
879;1;2;2;1;2;2;1;1;2;2;1;1
880;2;2;2;1;2;2;2;2;2;2;1;3
881;1;1;1;1;1;2;1;1;1;2;1;2
882;1;2;2;1;1;2;2;2;1;2;1;3
883;2;2;2;1;1;2;2;2;2;2;1;2
884;2;2;2;1;1;2;2;2;2;2;2;3
885;2;2;2;1;1;2;2;2;1;2;1;2
886;2;2;2;1;1;2;2;2;1;2;1;2
887;2;2;2;1;1;2;2;2;1;2;1;2
888;2;2;2;1;1;2;2;2;1;2;1;2
889;1;2;2;1;1;2;1;1;2;2;2;2
890;2;2;2;2;1;2;2;2;2;2;1;1
891;2;2;2;1;1;2;2;2;1;2;2;2
892;2;2;2;2;1;2;2;2;2;2;1;2
893;2;2;2;1;1;2;2;2;1;2;1;1
894;2;2;2;1;1;1;2;2;1;2;2;3
895;2;2;2;1;1;1;2;2;1;2;1;3
896;2;2;2;2;1;1;1;2;1;2;2;2
897;2;2;2;1;1;1;2;2;1;2;1;2
898;1;2;1;1;1;2;2;2;1;2;1;3
899;1;2;2;1;1;2;2;2;1;2;2;2
900;2;2;2;2;1;2;2;2;2;2;1;2
901;2;1;1;1;1;1;2;2;1;2;1;3
902;2;2;2;1;1;1;2;2;1;2;1;2
903;2;2;2;1;1;1;2;2;2;2;1;2
904;2;1;2;3;1;2;2;2;2;2;1;3
905;2;2;2;1;1;1;2;2;1;2;2;1
906;1;2;2;1;1;1;1;1;1;2;1;2
907;1;2;2;1;2;2;2;2;2;2;2;3
908;1;2;2;1;1;1;2;2;2;2;1;3
909;1;2;2;1;1;1;2;2;1;2;1;2
910;2;2;1;1;2;2;2;1;1;2;1;2
911;2;2;1;1;1;1;2;2;2;2;1;3
912;2;2;2;2;1;1;2;2;1;2;1;2
913;2;2;2;1;1;1;2;2;1;2;1;3
914;2;2;2;1;1;1;2;2;1;2;2;3
915;2;2;2;1;1;1;2;2;1;2;1;2
917;2;2;2;1;1;1;2;2;1;2;2;3
918;2;1;1;3;2;1;2;2;1;2;1;3
919;2;2;2;1;1;1;2;2;1;2;1;3
920;2;2;1;1;1;1;2;2;2;2;1;3
921;2;2;2;2;1;1;2;2;2;2;2;2
922;2;2;2;1;2;2;2;2;1;2;1;3
923;2;2;2;2;1;1;2;2;1;2;1;3
924;2;1;1;3;1;1;1;2;2;2;2;3
925;2;1;1;3;1;1;1;2;1;2;1;2
926;2;2;2;2;1;1;2;2;2;2;1;3
927;2;2;2;1;1;1;2;2;1;2;2;3
928;2;2;2;2;1;2;2;2;2;2;1;2
929;2;1;2;1;1;1;2;2;1;2;1;3
930;1;2;2;1;2;2;1;1;2;2;1;2
931;2;2;2;1;1;1;2;2;2;2;1;3
932;2;2;2;1;1;2;2;2;1;2;1;2
933;2;2;2;1;1;1;2;2;2;2;1;2
934;2;2;1;2;1;1;2;2;1;2;1;3
935;1;2;2;1;1;1;1;2;1;2;2;2
936;2;1;1;3;1;1;2;2;1;2;1;3
937;2;2;2;2;1;1;2;2;2;2;1;2
938;2;2;2;2;1;1;2;2;2;2;2;2
939;2;1;1;3;1;2;2;2;2;2;2;3
940;2;2;2;1;1;2;2;2;1;2;1;3
941;1;2;2;2;1;1;2;2;2;2;1;3
942;2;2;2;1;1;1;2;2;1;2;1;3
943;2;2;2;1;1;1;2;2;1;2;1;3
945;2;2;2;1;1;1;2;2;2;2;1;3
946;1;2;2;2;1;2;2;2;1;2;1;1
947;2;2;2;1;1;1;2;2;2;2;2;2
948;2;2;2;2;1;1;2;2;1;2;1;2
949;2;2;2;1;1;1;2;2;1;2;1;2
950;2;2;2;1;1;1;2;2;1;2;1;1
951;1;2;2;2;1;2;2;2;1;2;1;1
953;1;2;1;1;1;2;1;1;2;1;1;1
954;1;2;1;1;1;2;1;1;1;1;1;2
959;1;2;1;1;1;1;1;1;2;1;1;2
961;1;2;1;1;1;1;1;1;2;1;1;2
962;1;2;2;2;2;2;1;1;1;1;1;2
963;2;2;2;2;2;2;2;2;1;1;2;2
964;1;2;2;1;2;2;1;1;1;1;1;2
967;1;2;1;1;2;2;1;1;2;1;1;2
968;1;2;1;1;2;2;1;1;1;1;1;2
970;1;2;2;2;1;2;1;1;1;1;1;2
971;1;2;1;1;2;2;1;1;1;1;1;2
972;1;2;1;1;1;2;1;2;2;1;1;1
975;2;1;2;1;2;2;2;2;2;1;2;3
981;2;2;1;1;1;2;2;2;1;1;2;3
984;1;2;1;1;1;2;1;1;1;1;1;2
986;1;2;1;1;1;2;1;1;2;1;1;3
988;1;2;1;1;2;2;1;1;1;1;1;2
989;1;2;1;1;1;1;1;1;1;1;1;2
991;1;2;1;1;2;2;1;1;2;1;1;2
992;1;2;1;1;1;2;1;1;2;1;1;1
993;2;2;1;1;1;1;2;2;2;1;2;3
995;1;2;1;1;2;2;1;1;1;1;1;2
996;1;2;1;1;2;2;1;1;1;1;1;2
997;1;2;1;1;2;2;1;1;1;1;1;2
998;2;2;2;1;2;2;1;2;1;1;1;2
999;1;2;1;1;2;2;1;1;1;1;1;2
1001;2;2;1;1;2;2;1;1;1;1;2;2
1002;1;2;1;1;2;2;1;1;2;1;1;2
1004;1;2;1;1;1;2;1;1;1;1;1;2
1005;1;2;1;1;1;2;1;1;2;1;1;1
1006;2;2;1;1;1;2;1;1;1;1;1;2
1008;1;2;1;1;2;2;1;1;2;1;1;2
1009;1;2;1;2;1;2;2;1;2;1;2;2
1010;1;2;1;1;2;2;1;1;2;1;1;1
1013;2;2;2;1;1;2;1;1;2;1;1;2
1015;1;2;1;1;1;2;1;1;2;1;1;2
1019;2;1;1;3;2;1;2;2;1;1;2;2
1021;2;1;2;1;1;1;2;2;2;1;1;3
1022;1;2;1;2;2;2;2;1;1;1;1;2
1023;1;2;2;3;1;2;1;1;2;1;1;2
1025;1;2;1;1;2;2;1;1;2;1;1;2
1026;2;1;1;1;1;1;2;2;1;1;1;3
1028;1;2;1;2;1;2;1;1;2;1;1;1
1030;2;2;2;1;1;1;2;2;1;1;1;3
1032;1;2;1;1;2;2;1;1;1;1;1;2
1035;1;2;1;1;1;2;1;1;1;1;1;2
1036;1;2;1;1;1;2;1;1;2;1;1;2
1037;2;2;1;1;1;1;1;1;2;1;2;2
1038;2;1;2;1;1;2;2;2;1;1;1;2
1039;2;1;1;1;2;2;2;2;1;1;2;3
1040;1;2;1;1;2;2;1;1;2;1;1;1
1041;2;2;2;1;2;2;1;1;1;1;1;2
1042;1;2;2;2;2;2;2;1;1;1;1;2
1043;1;2;1;1;1;1;1;1;1;1;1;2
1044;2;2;2;1;2;2;2;1;2;1;2;3
1045;1;2;1;1;2;2;1;1;2;1;1;2
1046;2;2;2;1;2;1;2;2;1;1;2;3
1048;1;2;1;1;2;2;1;1;1;1;1;2
1049;1;2;1;1;1;1;1;1;1;1;1;2
1050;1;2;1;1;1;1;1;1;2;1;1;2
1053;1;2;1;1;1;2;2;2;2;1;1;2
1054;1;2;1;1;2;2;1;1;1;1;1;2
1055;1;1;1;1;2;2;1;1;1;1;1;2
1056;1;2;2;1;2;2;1;1;2;1;1;2
1058;1;2;1;1;1;1;1;1;1;1;1;2
1059;1;2;1;2;1;1;1;1;1;1;1;2
1060;1;2;1;1;1;1;1;1;1;1;2;2
1062;1;2;1;1;2;2;1;1;1;1;1;2
1063;1;2;1;2;1;1;1;1;2;1;1;1
1064;1;2;2;2;1;1;1;1;2;1;1;1
1065;1;2;1;2;2;1;1;1;2;1;1;1
1066;2;2;2;1;2;2;1;2;1;1;1;2
1068;2;2;2;1;1;2;2;2;2;1;1;3
1069;2;2;1;1;1;2;1;1;2;1;1;2
1070;1;2;2;1;1;2;1;1;1;1;2;2
1071;2;2;2;1;1;2;2;2;1;1;1;3
1072;2;2;2;1;1;1;2;2;1;1;1;2
1073;1;2;2;1;1;1;1;1;1;1;1;2
1075;1;2;1;1;1;2;1;1;2;1;1;1
1076;2;2;1;1;1;2;1;1;1;1;2;2
1077;2;2;2;1;1;1;2;2;1;1;1;2
1078;1;2;2;1;1;2;1;1;2;1;1;1
1079;2;1;2;1;1;1;2;2;2;1;1;3
1080;1;2;1;1;1;2;1;1;2;1;1;1
1081;1;1;2;1;1;2;2;2;2;2;1;2
1082;1;1;2;1;1;2;1;1;2;2;2;2
1083;2;2;1;2;1;1;1;1;2;2;2;1
1084;1;2;2;1;1;2;1;1;2;2;1;1
1085;1;2;2;1;2;2;1;1;2;2;1;2
1086;2;1;1;1;1;1;2;2;1;2;2;2
1087;2;2;2;2;1;1;2;2;2;2;1;3
1088;2;2;2;2;1;2;1;1;1;2;2;3
1090;2;2;2;2;1;1;2;2;2;2;2;1
1093;1;2;2;1;1;2;1;1;2;2;1;2
1095;1;2;2;1;1;1;1;1;2;2;1;2
1096;2;2;2;1;1;2;2;2;1;2;1;3
1098;2;2;2;2;1;2;2;2;1;2;2;3
1099;2;2;2;1;1;1;1;1;2;2;1;2
1100;2;1;2;2;1;1;2;2;2;2;2;3
1101;2;2;2;2;1;1;2;2;2;2;1;2
1103;1;2;2;1;1;1;1;2;1;2;1;2
1105;2;2;2;1;1;1;2;2;1;2;2;2
1106;2;1;1;2;1;1;2;2;2;2;1;3
1107;2;2;2;2;1;1;1;2;1;2;1;2
1108;1;2;2;1;1;2;1;1;2;2;1;1
1109;1;2;2;1;1;2;1;1;1;2;1;2
1110;1;2;1;1;2;2;1;1;2;2;1;1
1111;1;2;2;1;1;2;1;2;1;2;1;2
1113;1;2;1;1;1;1;1;2;1;2;1;2
1115;1;2;2;2;2;2;1;1;2;2;1;1
1116;1;2;2;1;1;2;1;1;2;2;1;1
1117;2;2;2;1;1;2;2;2;1;2;1;3
1118;1;2;2;1;1;1;1;1;2;2;1;2
1119;2;2;2;2;1;1;2;2;1;2;1;2
1120;2;2;2;1;1;1;2;2;1;2;1;3
1121;2;1;2;1;1;2;2;2;1;2;2;2
1122;1;2;2;1;1;1;1;1;1;2;1;2
1123;1;2;2;1;2;2;2;2;1;2;1;2
1124;1;2;2;1;2;2;1;1;1;2;1;2
1126;2;2;2;2;1;1;1;1;2;2;1;2
1127;1;2;2;1;2;2;1;1;2;2;1;2
1128;1;2;2;1;2;2;1;1;1;2;1;2
1131;2;2;2;2;1;1;2;2;2;2;1;2
1133;1;2;2;1;1;2;1;1;2;2;1;2
1134;2;1;2;1;1;1;1;1;1;2;2;2
1135;2;2;2;1;2;1;2;2;2;2;2;3
1136;2;2;2;1;2;2;2;2;2;2;2;3
1137;2;1;1;3;1;2;2;2;1;2;1;3
1138;2;2;2;1;2;2;1;1;1;2;2;2
1140;2;2;2;1;1;1;2;2;2;2;1;3
1141;1;2;2;1;2;2;1;1;2;2;1;1
1142;2;2;2;1;2;2;1;2;1;2;1;2
1143;2;2;2;2;1;1;2;2;2;2;1;2
1144;2;2;2;2;1;1;2;1;1;2;1;2
1145;2;1;1;3;2;2;2;2;1;2;1;3
1147;2;2;2;2;1;2;2;2;2;2;2;3
1150;1;2;2;1;1;2;1;1;1;2;1;2
1151;1;2;2;2;2;2;1;1;2;2;2;1
1152;1;2;2;2;2;2;1;1;2;2;2;3
1153;2;1;2;1;2;2;2;2;1;2;2;3
1155;1;2;2;1;2;2;1;1;1;2;1;2
1156;2;1;1;3;1;1;2;2;2;2;2;2
1157;1;2;2;1;2;2;2;1;2;2;1;1
1158;2;2;2;1;1;2;2;2;1;2;1;3
1160;2;1;2;1;2;2;2;2;1;2;2;2
1161;2;2;2;2;1;2;1;2;2;2;1;3
1162;2;2;2;2;1;2;1;2;2;2;1;3
1163;1;2;2;2;1;2;1;1;1;2;2;2
1164;2;1;2;1;1;1;2;2;1;2;2;2
1166;2;2;2;1;1;1;2;2;2;2;1;2
1167;2;2;2;1;1;1;2;2;1;2;2;2
1169;2;1;1;3;1;1;2;2;2;2;2;3
1170;1;2;1;2;1;2;2;2;1;2;1;2
1171;2;2;2;2;2;2;1;1;1;2;2;2
1172;2;1;2;1;1;1;2;2;1;2;1;3
1173;2;2;2;1;1;2;1;1;2;2;1;2
1174;2;2;2;1;2;2;2;2;1;2;1;2
1176;2;2;2;1;1;2;1;2;1;2;2;2
1177;2;1;2;2;1;1;2;2;2;2;1;2
1178;2;1;2;2;1;1;2;1;2;2;2;3
1179;1;2;2;1;2;2;1;1;1;2;1;2
1180;1;2;2;1;1;1;1;1;1;2;1;2
1182;1;1;2;1;1;1;2;2;1;2;2;3
1183;2;2;2;1;2;2;2;2;2;2;2;2
1184;2;2;2;1;1;2;2;1;1;2;2;2
1186;2;1;2;2;1;2;2;2;1;2;2;3
1187;2;2;2;1;1;2;2;2;2;2;1;3
1188;1;2;2;1;1;2;1;1;2;2;1;2
1190;2;2;2;2;1;1;2;2;1;2;1;3
1192;2;2;2;1;1;2;1;1;1;2;2;2
1193;2;2;2;1;1;2;1;1;1;2;2;2
1194;1;2;2;1;1;2;1;1;1;2;1;2
1195;2;2;1;2;1;1;2;2;1;2;1;3
1196;2;2;2;2;1;2;1;1;1;2;2;2
1197;2;1;2;1;2;2;1;2;1;2;2;2
1198;2;2;2;2;1;1;1;1;2;2;2;1
1199;2;2;2;2;1;1;1;1;2;2;2;1
1200;2;1;2;2;1;2;2;2;2;2;1;2
1202;2;2;2;2;1;1;2;2;2;2;1;1
1204;2;2;2;2;1;1;2;2;1;2;1;2
1205;2;2;2;1;2;2;1;2;1;2;1;2
1206;2;2;2;1;1;1;1;2;1;2;1;2
1207;2;2;2;1;1;1;1;2;1;2;1;2
1208;2;2;2;2;1;1;2;2;1;2;2;3
1209;2;2;2;1;1;2;2;2;1;2;1;2
1210;2;2;2;1;1;2;2;2;1;2;1;2
1211;2;2;2;1;1;1;2;2;2;2;2;3
1212;2;2;2;1;1;2;2;2;1;2;2;2
1213;2;2;2;1;2;2;2;2;1;2;2;2
1214;2;2;2;1;1;1;2;2;2;2;1;3
1215;2;1;2;2;1;2;2;2;2;2;1;2
1216;2;1;2;1;1;2;2;2;2;1;1;2
1218;2;1;2;1;2;2;2;2;1;2;2;2
1219;1;2;2;1;1;2;1;1;1;2;1;2
1220;2;1;2;1;1;1;2;2;1;2;1;3
1221;2;1;1;1;2;2;2;2;2;2;1;3
1222;2;2;2;1;1;2;1;2;2;2;2;3
1223;1;2;1;1;1;2;2;2;1;2;1;3
1224;1;2;2;1;1;2;1;1;2;2;2;2
1225;1;2;2;1;1;2;1;1;2;2;2;2
1226;1;2;2;1;2;2;1;1;2;2;1;2
1227;2;2;2;1;1;2;2;2;2;2;1;3
1228;2;1;1;1;1;1;2;2;2;2;1;3
1230;1;2;2;1;2;2;1;1;2;2;1;1
1231;1;2;2;1;1;1;1;1;1;2;1;2
1233;2;2;2;1;1;2;1;2;1;2;2;2
1234;2;2;2;1;2;2;2;2;1;2;1;3
1235;1;2;2;1;2;2;1;1;1;2;1;2
1236;1;2;2;1;1;2;1;2;2;2;1;2
1237;2;2;2;2;1;1;1;1;2;2;2;2
1238;2;2;1;1;2;2;2;2;1;2;2;3
1239;1;2;2;1;1;2;1;1;2;2;1;1
1241;1;2;2;1;1;2;1;1;2;2;2;2
1243;1;1;1;2;1;2;1;1;1;2;1;2
1244;1;2;2;2;2;2;1;1;2;2;1;1
1245;1;1;2;1;1;2;2;2;2;2;1;3
1246;2;1;2;1;1;2;2;2;2;2;2;3
1247;2;2;2;1;1;2;2;2;2;2;2;2
1248;2;2;2;2;1;1;2;2;2;2;2;3
1249;2;2;2;1;1;1;1;1;1;2;2;2
1250;2;2;2;1;1;2;2;2;2;2;1;3
1251;2;2;1;2;1;2;2;2;2;2;2;3
1252;2;2;2;2;1;2;2;2;2;2;1;3
1253;2;2;2;1;1;1;1;2;1;2;1;2
1254;2;2;2;1;1;2;2;2;1;2;1;2
1255;2;1;1;1;2;2;2;2;2;2;2;3
1256;2;2;2;1;1;2;2;2;1;2;2;2
1257;2;2;2;1;1;2;2;2;1;2;2;1
1258;1;1;1;1;1;2;1;1;2;2;2;3
1259;2;2;2;2;1;2;2;2;2;2;1;2
1260;2;2;2;2;1;2;2;2;2;2;1;3
1261;1;2;2;1;2;2;1;1;2;2;1;1
1262;2;1;1;3;1;2;2;2;2;2;1;3
1264;2;2;2;1;1;1;2;2;1;2;1;3
1265;2;2;2;2;1;2;2;2;1;2;2;2
1266;2;1;2;2;1;2;2;2;1;2;2;3
1267;1;2;1;1;1;1;1;1;2;2;1;2
1268;1;2;1;2;1;2;1;1;1;2;2;2
1269;2;2;2;1;1;1;2;2;1;2;2;3
1270;1;2;2;1;1;1;1;1;1;2;1;2
1271;2;2;2;1;1;1;2;2;2;2;2;3
1272;1;1;2;1;1;2;2;2;1;2;1;3
1273;1;2;2;2;1;2;1;1;2;2;1;2
1274;1;2;2;1;1;2;1;1;1;2;2;2
1275;2;1;2;1;2;2;2;2;2;2;1;3
1277;1;2;2;2;1;2;1;1;2;2;1;2
1279;2;2;2;2;1;2;2;2;1;2;1;2
1280;1;2;2;2;1;2;2;2;1;2;2;3
1281;2;2;2;1;2;2;2;2;2;2;1;3
1282;2;2;2;1;1;2;1;1;2;2;2;2
1283;2;2;1;1;1;2;2;2;2;2;2;3
1285;1;2;2;1;1;2;1;1;1;2;1;2
1286;1;2;2;1;1;1;1;1;2;2;1;2
1287;1;1;1;1;2;2;1;1;2;2;1;1
1288;1;2;2;1;1;2;1;1;2;2;1;2
1289;2;2;2;1;1;2;2;2;1;2;2;2
1290;1;2;2;1;1;2;1;1;2;2;1;1
1292;1;1;2;1;1;1;1;1;1;2;1;2
1293;1;2;1;2;1;1;1;1;2;2;1;2
1294;1;1;1;1;1;2;1;1;1;2;1;2
1295;1;2;2;1;2;2;1;1;1;2;1;2
1296;2;1;1;1;1;1;2;2;1;2;2;3
1297;1;2;2;1;1;1;1;1;1;2;2;2
1298;2;2;2;1;1;2;1;2;1;2;2;2
1299;1;2;2;1;1;2;1;1;2;2;2;2
1300;2;2;1;2;1;2;2;2;2;2;1;3
1301;1;2;2;2;1;2;1;1;1;2;2;2
1302;2;2;2;1;1;2;1;1;2;2;2;2
1303;2;2;2;1;1;2;1;1;2;2;2;2
1304;1;1;2;1;1;1;1;1;2;2;1;2
1305;1;2;2;1;1;2;1;1;2;2;2;2
1306;1;2;1;1;1;2;1;1;1;2;2;2
1307;2;2;2;1;1;2;1;1;1;2;1;2
1308;2;1;1;3;1;2;1;1;1;2;2;2
1309;1;1;1;3;2;2;1;2;2;2;1;2
1310;2;2;2;1;1;2;2;2;2;2;1;3
1312;1;2;2;1;1;1;2;2;2;2;1;3
1313;2;2;2;1;1;2;2;2;1;2;1;3
1314;2;2;2;1;1;2;1;1;1;2;2;2
1315;1;2;1;1;1;2;2;2;1;2;2;3
1316;2;2;2;1;1;2;2;2;1;2;1;3
1317;2;1;1;3;1;1;2;2;2;2;2;3
1318;2;1;1;3;1;1;2;2;2;2;2;3
1319;2;2;2;1;1;2;2;2;1;2;1;3
1320;2;2;2;1;1;2;2;2;2;2;1;3
1321;2;1;1;1;1;2;2;2;1;2;1;3
1322;2;1;1;2;1;2;2;2;1;2;1;3
1323;2;1;2;1;1;2;2;2;1;2;1;3
1324;2;2;2;1;1;2;2;2;1;2;1;2
1325;2;2;2;1;1;1;2;2;2;2;2;3
1326;2;2;2;2;1;2;2;2;2;2;1;2
1327;2;2;2;1;1;2;2;2;2;2;1;3
1328;2;2;2;1;1;2;2;2;1;2;1;3
1329;1;2;2;1;1;2;1;1;2;1;1;1
1330;2;2;2;1;2;2;2;2;1;2;1;3
1331;1;2;2;2;2;2;2;2;2;2;1;3
1333;2;2;2;1;1;1;2;2;1;2;1;2
1334;2;1;1;3;2;2;2;2;1;2;1;3
1335;2;1;2;1;2;2;2;2;1;2;2;3
1336;2;2;2;1;1;2;2;2;2;2;1;3
1337;2;2;2;1;1;1;2;2;1;2;1;2
1338;2;1;1;3;2;1;2;2;1;2;1;3
1339;2;1;1;3;1;2;2;2;2;2;1;3
1340;2;1;1;3;1;1;2;2;2;2;1;3
1341;2;1;1;3;2;2;2;2;2;2;1;3
1342;2;1;2;1;1;2;2;2;2;2;2;3
1343;2;1;2;2;1;2;2;2;1;2;1;3
1344;2;2;2;2;1;2;2;2;1;2;2;2
1345;2;2;2;2;1;2;2;2;1;2;1;1
1346;2;2;2;1;1;2;2;2;1;2;2;3
1347;2;2;2;2;1;1;2;2;1;2;2;3
1348;2;2;2;1;1;1;2;2;2;2;1;2
1349;2;2;2;1;2;1;2;2;2;1;2;3
